toi,tid,tfopwg_disp,rastr,ra,decstr,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1023.01,238374636,FP,08h03m21.05s,120.8376880,-51d20m44.25s,-51.3456260,1.3214483,0.0000231,-0.0000231,0,3.4350000,0.0710000,-0.0710000,0,21.8839000,4.0147500,-4.0147500,0,35623.2000000,,,,3827.0000000,,,,9.6970000,0.006,-0.006,0,5050.8000000,86.8000000,-86.8000000,0,3.5600000,0.4000000,-0.4000000,0,2.9900000,0.1500000,-0.1500000,0
1024.01,141482386,FP,05h47m16.97s,86.8207140,-72d25m21.4s,-72.4226110,18.0157000,0.0001500,-0.0001500,0,2.5240000,0.4030000,-0.4030000,0,21.6440000,,,0,7.6436400,,,,463.0000000,,,,10.0814000,0.006,-0.006,0,4709.0000000,122.0000000,-122.0000000,0,,,,0,7.6100000,,,0
1025.01,297967252,PC,09h30m05.08s,142.5211590,-51d31m01.61s,-51.5171140,9.6837920,0.0000024,-0.0000024,0,2.3975780,0.0106804,-0.0106804,0,,,,0,3176.3107352,,,,1914.6989326,,,,5.5324000,0.006,-0.006,0,8598.7000000,1245.7000000,-1245.7000000,0,,,,0,,,,0
1026.01,388624270,FP,08h21m44.31s,125.4346340,-51d45m33.99s,-51.7594420,14.2694372,0.0092187,-0.0092187,0,6.9350494,0.4663160,-0.4663160,0,3.7255381,0.2679282,-0.2679282,0,51.2588496,,,,682.4360542,,,,9.9138000,0.006,-0.006,0,5690.0000000,129.0000000,-129.0000000,0,4.5800000,0.0800000,-0.0800000,0,0.8538980,0.0413895,-0.0413895,0
1027.01,20318757,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,3.2834447,0.0000091,-0.0000091,0,1.3840000,0.2990000,-0.2990000,0,2.6999400,0.2648580,-0.2648580,0,79.7847000,,,,832.0000000,,,,10.2103000,0.006,-0.006,0,4272.0000000,122.7000000,-122.7000000,0,4.6000000,0.1100000,-0.1100000,0,0.6800000,0.0600000,-0.0600000,0
1027.02,20318757,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,11.0285857,0.0000705,-0.0000705,0,3.1640000,0.8270000,-0.8270000,0,3.1211100,0.3380600,-0.3380600,0,53.4063000,,,,753.0000000,,,,10.2103000,0.006,-0.006,0,4272.0000000,122.7000000,-122.7000000,0,4.6000000,0.1100000,-0.1100000,0,0.6800000,0.0600000,-0.0600000,0
1028.01,447283466,FP,10h28m23.6s,157.0983370,-51d42m19.47s,-51.7054090,1.0160600,0.0003400,-0.0003400,0,2.8430000,0.2780000,-0.2780000,0,1.2070400,0.0989898,-0.0989898,0,2784.0400000,,,,2023.0000000,,,,7.9059000,0.006,-0.006,0,4634.0000000,120.9000000,-120.9000000,0,4.6400000,0.0900000,-0.0900000,0,0.6800000,0.0500000,-0.0500000,0
1029.01,374908020,FP,05h54m57.38s,88.7390900,-65d57m31.82s,-65.9588390,36.2221400,0.0004600,-0.0004600,0,5.1070000,0.1880000,-0.1880000,0,,,,0,,,,,,,,,6.8410000,0.000,0.000,0,,,,0,,,,0,,,,0
103.01,336732616,KP,20h49m49.8s,312.4574880,-24d25m43.3s,-24.4286940,3.5478540,0.0001490,-0.0001490,0,3.4943330,0.0492050,-0.0492050,0,14.5818410,0.1964350,-0.1964350,0,1212.0043760,,,,1504.8589530,,,,11.5232000,0.008,-0.008,0,6351.0000000,,,0,4.2289600,,,0,1.4000000,,,0
1030.01,464296022,FP,10h23m19.55s,155.8314780,-57d35m24.89s,-57.5902480,12.1236900,0.0007600,-0.0007600,0,4.8490000,0.2110000,-0.2110000,0,9.2566400,4.1350500,-4.1350500,0,223.1950000,,,,1076.0000000,,,,9.5706000,0.006,-0.006,0,4807.6000000,60.0000000,-60.0000000,0,4.1700000,0.3600000,-0.3600000,0,1.0700000,0.0300000,-0.0300000,0
